Protein,FS1 A MCF7,FS1 B MCF7,FS2 A MCF7,FS2 B MCF7,FP1 A MCF7,FP1 B MCF7,FP2 A MCF7,FP2 B MCF7,FP3 A MCF7,FP3 B MCF7,MIN PSMs for quant
PDSS1,0.5530,0.4122,0.7192,0.5366,1.5481,1.6257,2.4109,2.2265,0.7948,0.8073,21
PDSS2,0.4214,0.4112,0.8399,0.7751,1.4741,1.5493,2.1815,2.0655,0.8755,0.7825,30
PDXDC1,3.1315,2.8534,0.9861,1.0313,0.8966,0.8794,1.0078,1.1131,0.6647,0.7733,141
PDXK,3.5877,3.5173,1.2985,1.2145,0.5911,0.6013,0.4893,0.5115,0.4827,0.4633,102
PDXP,3.5094,3.7070,1.3590,1.3010,0.7486,0.6347,0.7297,0.6920,0.5544,0.6237,10
PDZD11,1.5007,1.4002,1.0688,1.1163,1.1638,1.1128,1.2711,1.3083,0.8962,1.0003,14
PDZD8,0.4354,0.4993,0.6569,0.7293,1.2031,1.2634,1.8975,1.7903,1.6388,1.6328,44
PDZK1,2.4580,1.9925,1.2863,1.4814,0.8328,0.9685,0.7890,0.8459,0.7360,0.8926,6
PDZRN3,3.3839,3.2975,0.9091,1.1797,0.8208,0.7913,0.9562,0.8531,0.6496,0.8066,5
PEA15,4.4499,3.7316,0.9484,1.0178,0.3808,0.4590,0.2874,0.3360,0.3003,0.3904,29
PEAK1,0.7081,0.6360,1.3503,1.4887,1.1355,1.0770,1.2910,1.1810,1.0447,1.1262,54
PEBP1,4.4424,4.2556,1.3879,1.3498,0.4761,0.4779,0.3864,0.3628,0.3700,0.3518,195
PECR,0.5985,0.5572,0.6356,0.5391,1.3610,1.4732,2.1171,2.0121,1.3148,1.3085,15
PEF1,3.8163,3.6860,1.1374,1.0408,0.8288,0.7358,0.7974,0.7289,0.6357,0.5910,17
PELO,3.1650,3.4584,1.2223,1.2223,0.6884,0.7572,0.7079,0.7058,0.6105,0.7534,32
PELP1,0.7628,0.7831,0.7471,0.6859,1.5834,1.4610,1.0795,0.9351,2.1275,1.5350,72
PEMT,0.7824,0.5201,0.4980,0.6079,1.4118,1.4637,1.9391,1.8606,1.5254,1.3830,2
PEPD,4.6946,4.4139,1.1890,1.0140,0.5022,0.4418,0.3978,0.4438,0.5137,0.3888,43
