Protein,FS1 A H322,FS1 B H322,FS2 A H322,FS2 B H322,FP1 A H322,FP1 B H322,FP2 A H322,FP2 B H322,FP3 A H322,FP3 B H322,MIN PSMs for quant
AHNAK2,0.7631,0.7715,2.727,2.5224,0.784,0.8163,0.8103,0.7879,0.6822,0.6482,1345
AHR,3.2807,3.4101,1.2388,1.289,0.6445,0.7357,0.7558,0.8103,0.7475,0.8091,83
AHSA1,4.0697,4.3224,0.9308,1.0005,0.5979,0.6355,0.6976,0.6913,0.607,0.6406,203
AHSG,2.4096,4.1533,0.7028,1.7698,0.5123,0.9986,0.664,0.954,0.5541,0.7037,102
AIDA,1.2107,1.1959,1.233,1.2064,1.0356,1.0096,1.3809,1.392,0.8676,0.9314,56
AIF1L,3.2912,3.6851,1.1707,1.2641,0.79,0.8234,0.8543,0.8379,0.4337,0.4683,9
AIFM1,0.4448,0.4337,0.4023,0.4078,1.1031,1.0761,2.4114,2.1877,0.7559,0.7557,321
AIFM2,0.816,0.8515,0.714,0.6731,0.9777,0.9633,1.5852,1.5202,1.5319,1.4055,57
AIG1,0.3737,0.3321,0.1951,0.2621,1.4462,1.2067,1.8978,1.6266,1.4592,1.4453,5
AIM1,0.5199,0.4839,1.2884,1.302,1.2254,1.1346,1.328,1.2934,1.1083,1.052,163
AIM1L,1.7719,1.8691,1.781,1.7658,0.8006,0.9111,0.8443,0.9184,0.6927,0.6916,47
AIMP1,0.656,0.6919,1.1428,1.02,0.6819,0.6975,1.0228,0.977,2.4858,2.0973,298
AIMP2,0.7353,0.7617,1.0497,0.9542,0.6889,0.6754,1.0359,0.9832,2.5017,2.094,232
AIP,3.1344,3.3636,1.2746,1.3277,0.6976,0.7341,0.712,0.7751,0.6987,0.7037,124
AJUBA,3.3744,3.4987,1.3296,1.4436,0.6504,0.791,0.7684,0.8004,0.5736,0.6704,20
AK1,4.84,5.5228,1.1468,1.126,0.4747,0.4959,0.473,0.4582,0.3878,0.4218,55
AK2,0.7218,0.7178,1.6638,1.7784,1.0416,0.9894,1.5496,1.3066,0.5384,0.5347,220
AK3,0.4047,0.4175,0.7304,0.7731,1.183,1.1603,2.1449,1.9953,0.6585,0.666,246
AK4,0.6259,0.6535,0.6935,0.7146,1.1191,1.1024,2.0852,1.8746,0.786,0.729,122
AKAP1,0.5186,0.4972,0.433,0.4376,1.0634,0.9971,2.0679,1.8504,1.1683,1.1454,111
AKAP10,3.1193,3.2924,1.0062,0.9693,0.6018,0.7256,0.8579,0.9766,0.8504,0.8966,42
AKAP11,1.0826,1.0326,0.9133,0.8969,0.8504,0.9459,1.4019,1.2969,1.4393,1.4692,22
AKAP12,1.7764,1.9536,1.3777,1.3465,0.795,0.7632,1.1028,0.9068,1.1836,0.9138,34
AKAP13,1.678,1.6193,1.4127,1.3769,0.7052,0.7671,0.9711,1.0213,1.1581,1.1548,498
AKAP17A,0.4983,0.5699,0.6278,0.6339,2.0712,2.2136,0.8024,0.8026,1.2245,1.1668,56
AKAP7,1.4174,1.3185,1.2111,1.0496,0.8415,0.9191,1.1798,1.2261,1.4618,1.2938,8
AKAP8,0.4368,0.4195,0.7223,0.7062,2.2098,2.3172,0.6856,0.6567,1.2399,1.14,72
AKAP8L,0.432,0.4041,1.4804,1.3615,1.2992,1.304,0.7799,0.8077,1.5763,1.4684,75
AKAP9,1.1458,1.0997,1.2594,1.175,0.7473,0.8345,1.1,1.2025,1.6021,1.4631,687
AKIP1,0.7943,0.9208,0.5573,0.5538,1.0228,1.1451,2.2133,2.1232,0.8582,0.8073,7
AKIRIN1,0.9915,0.9567,1.3123,1.2105,1.0637,1.1731,1.3482,1.1529,1.1028,1.0865,3
AKIRIN2,1.2614,1.333,1.9854,1.6052,0.871,0.8859,0.8024,0.803,1.1689,1.059,6
AKNA,1.5869,1.5894,0.9562,1.0358,0.8831,0.8266,1.4466,1.3877,1.2072,1.0662,2
AKR1A1,4.2639,4.7188,1.1985,1.2147,0.541,0.5726,0.5873,0.5634,0.5255,0.5135,222
AKR1B1,4.3135,4.5432,1.1397,1.2038,0.5252,0.5642,0.5923,0.5427,0.5297,0.5143,137
AKR1B10,4.8143,5.2405,1.1937,1.1914,0.4907,0.4697,0.5009,0.4495,0.4298,0.4148,41
AKR1C2,5.0168,5.4794,1.1642,1.1421,0.438,0.4268,0.4588,0.3917,0.4066,0.3987,39
AKR1C3,4.7215,5.2838,1.2143,1.1902,0.4569,0.4936,0.4434,0.4571,0.4299,0.4389,161
AKR7A2,3.3388,3.5186,1.1832,1.2261,0.5624,0.6469,0.848,0.8022,0.5416,0.6307,23
AKT1,4.3852,4.3179,0.9867,0.9637,0.5748,0.5525,0.6957,0.7107,0.5849,0.6019,31
AKT1S1,3.286,3.2186,1.0122,0.8888,0.5406,0.7416,0.7108,0.7255,1.1594,0.9102,10
AKT2,4.4775,4.9645,1.1034,1.0898,0.5118,0.532,0.6181,0.6601,0.5505,0.555,19
AKT3,3.8727,3.4922,1.1027,1.1298,0.6816,0.7314,0.7645,0.6974,0.5764,0.5929,7
AKTIP,3.3196,3.2679,1.3042,1.3278,0.6794,0.6772,0.6961,0.7825,0.6977,0.7311,19
ALAD,3.916,4.1522,1.4561,1.3698,0.4912,0.5425,0.64,0.5781,0.6245,0.5938,28
ALAS1,0.458,0.4936,0.8186,0.8699,1.1336,1.1182,2.084,1.9412,0.6007,0.5823,37
ALB,2.0308,1.8056,0.9339,1.2301,0.6967,1.0761,0.9754,1.1096,1.0316,1.0584,510
ALCAM,0.3846,0.3787,0.4073,0.3603,1.6779,1.6922,1.7858,1.7789,0.8442,0.8818,307
ALDH16A1,1.44,1.4045,0.7933,0.776,0.6417,0.634,0.6321,0.6023,2.8549,2.5653,36
ALDH18A1,0.5479,0.5709,0.7478,0.7854,1.1236,1.1008,2.1004,1.8556,0.6865,0.69,297
ALDH1A1,3.3682,2.0838,1.4017,0.938,0.7438,0.774,1.2416,0.7247,0.8721,1.0916,4
ALDH1A3,5.0432,5.3065,1.1808,1.3498,0.3942,0.4439,0.3973,0.4067,0.3867,0.3956,560
ALDH1B1,0.4598,0.4411,0.9489,1.0064,1.1112,1.0955,2.0373,1.8832,0.6533,0.6608,38
ALDH2,2.2537,1.6529,1.4671,0.876,0.9704,0.931,1.229,1.1107,0.8058,0.9603,3
ALDH3A1,4.609,4.9088,1.4263,1.3539,0.4568,0.4701,0.4355,0.4321,0.4351,0.4257,727
ALDH3A2,0.4855,0.4731,0.3372,0.3352,1.1822,1.1084,1.8816,1.767,1.3254,1.4004,607
ALDH3B1,0.881,0.9777,0.5782,0.536,1.2905,1.1759,1.3185,1.3009,1.471,1.3843,48
ALDH4A1,0.5673,0.5126,0.9633,1.02,1.0703,1.0329,2.0158,1.8203,0.6508,0.6102,136
ALDH5A1,0.3369,0.2975,0.9286,0.9704,1.1074,1.0614,2.2989,2.0462,0.5407,0.5413,74
ALDH6A1,0.533,0.5486,0.9241,0.9943,1.0889,1.0571,2.0216,1.8091,0.6934,0.6546,178
ALDH7A1,1.6182,1.677,1.0687,1.1313,0.9251,0.909,1.7266,1.5649,0.547,0.5298,263
ALDH9A1,2.4157,2.5016,1.2037,1.2222,0.7947,0.7976,1.3495,1.1901,0.581,0.5423,248
ALDOA,5.0474,5.2322,1.3655,1.4017,0.3669,0.3904,0.3653,0.3644,0.365,0.3473,1141
ALDOC,4.3099,4.4823,1.3582,1.3292,0.4684,0.4305,0.4989,0.4856,0.4031,0.3686,41
ALG1,0.3972,0.4922,0.3696,0.3409,1.1984,1.1888,1.8673,1.7148,1.2557,1.2947,27
ALG11,0.3273,0.2764,0.3082,0.2765,1.1827,1.1828,2.0078,1.8195,1.3897,1.4175,16
ALG12,0.2039,0.437,0.2766,0.1888,1.0623,0.9804,1.786,2.1265,1.5459,1.6366,2
ALG13,1.4949,1.697,0.6064,0.5952,1.188,1.2234,1.4074,1.2853,0.9889,1.0346,10
ALG14,0.6817,0.6712,0.4083,0.415,1.3425,1.2661,1.5914,1.4944,1.3318,1.4649,14
ALG2,0.4785,0.5242,0.3721,0.3411,1.2834,1.157,2.0407,1.8286,1.2386,1.2501,49
ALG3,0.4106,0.4175,0.3789,0.2783,1.3398,1.1465,1.8325,1.7642,1.3166,1.4574,19
ALG5,0.348,0.3592,0.3237,0.2899,1.287,1.2217,2.0275,1.8207,1.3074,1.3561,98
ALG6,0.3139,0.348,0.2641,0.2981,1.2371,1.153,1.9761,1.887,1.1553,1.3325,21
ALG8,0.8206,0.9024,0.6152,0.6557,1.2018,1.1266,1.5532,1.5057,1.2639,1.3074,18
ALKBH1,1.6188,1.6083,1.1784,1.016,0.9566,0.8912,1.6222,1.3966,0.7521,0.6056,9
ALKBH2,0.6639,0.7709,1.0927,1.0987,0.7105,0.7445,0.7756,0.748,3.0774,2.241,14
ALKBH3,3.4963,3.5423,1.2994,1.4147,0.7686,0.808,0.6885,0.6508,0.6106,0.6333,16
ALKBH4,3.1482,3.9012,1.1092,1.0166,0.7317,0.6845,1.1653,0.9883,0.4668,0.5655,5
ALKBH5,0.9894,1.1381,2.2599,2.0139,0.9825,1.0233,0.6282,0.6485,1.1313,0.9757,42
ALKBH6,2.9039,3.065,1.2049,1.174,0.6858,0.7046,0.8941,0.8914,0.7592,0.8264,6
ALKBH7,0.7617,0.6969,0.7688,0.8518,1.0996,1.0481,1.9153,1.6161,0.8862,0.8542,14
ALKBH8,4.5214,4.4509,1.116,1.2313,0.6187,0.6838,0.5345,0.5339,0.6035,0.6467,21
ALMS1,1.5242,1.415,1.1138,1.1435,0.8919,0.9638,1.4377,1.3404,0.9717,0.9289,56
ALOX5,1.4653,1.1604,0.6458,0.624,0.9603,1.4966,1.2747,1.3865,1.3822,1.3484,1
ALOX5AP,1.819,1.2842,0.9146,0.8562,0.7991,1.0996,1.1895,1.1609,1.6939,1.3571,2
ALPK1,3.0926,3.3371,0.992,1.1434,0.6624,0.758,0.7302,0.7985,0.7621,0.7294,9
ALPP,1.0104,1.6062,0.7291,0.5861,1.4585,1.2054,1.3581,0.9755,1.4628,1.4112,3
ALS2,3.1382,3.2027,0.9762,0.9833,0.6543,0.7011,0.8576,0.9653,0.9074,0.9937,24
ALS2CL,2.2789,2.1208,0.9575,0.9418,0.8739,0.86,1.0334,1.1182,1.0251,1.0165,29
ALYREF,0.4662,0.4913,0.4821,0.4568,1.8535,1.9552,0.919,0.9341,1.6869,1.4555,170
AMACR,0.3621,0.309,0.9455,1.0111,0.9833,0.7817,1.9693,1.6024,1.1409,0.9969,19
AMBP,2.0189,1.4128,0.9801,0.9438,0.94,1.0353,1.0392,0.9592,1.824,1.2327,4
AMBRA1,0.9512,0.9284,2.2664,2.0269,0.7707,0.7742,0.7966,0.8106,1.0198,1.0543,24
AMD1,4.6167,5.2451,1.6874,1.7559,0.2994,0.3846,0.3138,0.3565,0.3611,0.3457,2
AMDHD2,4.4056,5.1356,1.467,1.4873,0.4398,0.4514,0.4405,0.3849,0.4435,0.4655,18
AMER1,0.5929,0.4597,1.0042,1.0742,1.0698,1.2273,1.3222,1.294,1.3125,1.0192,7
AMFR,0.6341,0.6625,0.4592,0.4653,1.2074,1.1594,1.6469,1.5214,1.3221,1.3366,49
AMIGO2,0.6057,0.6496,0.6722,0.5901,1.2682,1.2576,1.7689,1.6772,1.3365,1.2481,5
AMMECR1,2.2862,2.5766,1.5071,1.5211,0.6714,0.8673,0.98,0.9341,0.7695,0.8003,2
AMMECR1L,2.4091,2.5581,1.8193,1.6722,0.7747,0.7188,0.7822,0.7323,0.8987,0.737,2
AMN1,2.9849,3.5607,0.9883,1.1197,0.696,0.6442,1.1162,0.9669,0.6794,0.8366,6
AMOT,1.0032,0.9885,1.3676,1.3312,1.2753,1.3746,1.1733,1.1728,0.6983,0.7005,17
AMOTL1,0.7204,0.7225,0.9429,0.8979,1.5854,1.6391,1.3758,1.4442,0.7258,0.736,75
AMOTL2,2.3915,2.2846,1.3114,1.3078,0.8991,0.8595,0.798,0.7819,0.6276,0.6657,18
AMPD2,4.1908,4.2221,1.6086,1.7634,0.4572,0.5252,0.4643,0.4624,0.4132,0.4826,45
AMPD3,4.058,4.1447,1.4258,1.6055,0.5097,0.607,0.5599,0.5883,0.4139,0.5207,4
AMPH,3.7133,3.8345,1.2026,1.3405,0.5306,0.5917,0.6459,0.6175,0.5907,0.5296,21
AMZ2,2.5804,2.6663,1.2055,1.1601,0.8313,0.9276,0.9684,0.9552,0.8747,0.7518,6
ANAPC1,1.3945,1.3638,1.195,1.1951,1.0961,1.0748,0.7319,0.7644,1.668,1.5338,81
ANAPC10,1.4761,1.4627,1.4858,1.4356,1.1175,1.0895,0.6216,0.63,1.5623,1.4011,10
ANAPC11,2.2416,2.4623,1.3949,1.4417,0.8804,0.8588,0.6847,0.6553,1.3077,1.1367,1
ANAPC13,1.6615,1.4732,1.5333,1.3218,1.1398,1.3003,0.546,0.5839,1.4177,1.437,2
ANAPC16,1.2975,1.4628,1.3226,1.3262,1.1542,1.0361,0.6924,0.6446,1.6341,1.514,8
ANAPC2,1.3638,1.3831,1.2138,1.2155,1.1108,1.04,0.7956,0.7631,1.692,1.5635,41
ANAPC4,1.6775,1.6294,1.1405,1.0942,1.0436,1.0247,0.7662,0.8227,1.4807,1.4228,33
ANAPC5,1.6098,1.5507,1.2227,1.1867,1.0209,1.0447,0.7221,0.7865,1.6016,1.5064,40
ANAPC7,1.0795,1.0676,1.1842,1.1296,1.2195,1.1593,0.809,0.8232,1.7772,1.5869,46
ANG,1.5116,1.1413,1.2912,0.775,1.6407,1.3179,1.0469,0.8562,0.8867,1.0823,3
ANGEL1,0.7539,0.6403,0.5678,0.4276,1.0261,0.9186,1.8212,1.771,1.7053,1.5203,6
ANGEL2,0.6891,0.7222,1.479,1.359,0.9642,0.9204,1.2392,1.0871,1.5297,1.2612,18
ANK1,1.3532,2.2084,0.8398,0.8892,0.5664,1.1952,1.9271,0.9129,1.0919,0.9665,7
ANK3,1.1427,1.0295,1.8235,1.8041,1.1051,1.2092,0.9843,1.049,0.6437,0.6755,186
ANKEF1,0.9129,0.9972,0.7342,0.7798,1.0385,0.9583,1.3001,1.2858,1.8187,1.4905,4
ANKFY1,1.5175,1.4571,2.2125,2.0567,0.6238,0.6494,0.9161,0.887,0.9072,0.8152,98
ANKH,1.0657,1.1412,0.6442,0.5824,0.9554,0.8039,1.5232,1.4749,1.7105,1.6974,5
ANKHD1,1.6427,1.6733,1.6607,1.7046,0.7016,0.8702,0.8825,0.8623,1.2374,1.1128,8
ANKIB1,0.7454,0.7711,0.7361,0.7416,0.9699,0.9858,1.6035,1.5463,1.5415,1.4713,37
ANKLE2,0.7936,0.8312,0.5809,0.5646,1.1479,1.1045,1.6888,1.5237,1.2997,1.3421,88
ANKMY2,3.5298,3.5625,1.0021,1.112,0.5656,0.6108,0.8589,0.9033,0.706,0.7951,43
ANKRA2,2.0207,2.5998,1.294,1.3101,1.0411,0.9915,0.9527,0.8689,0.8508,0.8253,2
ANKRD10,2.4241,2.432,1.7544,1.5817,0.8885,0.823,0.8377,0.7917,0.7496,0.9465,3
ANKRD11,0.4586,0.4698,1.0753,1.1511,1.9428,1.8866,0.6732,0.6842,1.2942,1.2316,92
ANKRD12,0.4543,0.5115,1.5042,1.6802,1.5665,1.5153,0.6816,0.7168,1.3584,1.0831,26
ANKRD13A,2.5538,2.398,0.9229,0.9931,0.7702,0.8212,1.1167,1.0463,1.1142,1.0574,34
ANKRD13C,2.0692,1.5661,0.6874,0.7691,0.943,0.8983,1.5106,1.2577,1.3555,1.2796,3
ANKRD13D,2.8068,2.7916,1.027,1.084,0.7097,0.7753,0.8849,0.9628,0.76,0.81,13
ANKRD16,4.2302,4.068,1.0535,1.1536,0.5506,0.5706,0.7256,0.6718,0.7332,0.7223,9
ANKRD17,1.221,1.2799,1.6154,1.6011,0.6114,0.6522,0.6979,0.6765,1.9742,1.5942,115
ANKRD2,2.8248,2.9896,0.9901,0.9959,1.0429,1.004,0.7542,0.7479,0.9788,0.8748,3
ANKRD22,0.5137,0.5127,0.4048,0.354,1.2591,1.1562,1.7089,1.5751,1.5721,1.5274,44
ANKRD26,0.8787,0.8894,1.1539,1.1442,1.0449,1.0969,1.6097,1.4416,0.923,0.8337,27
ANKRD27,1.1796,1.1327,1.0601,1.0367,0.8411,0.8781,1.2869,1.256,1.4532,1.3796,43
ANKRD28,3.3011,3.3523,1.1833,1.2812,0.5357,0.5923,0.709,0.8324,0.9687,1.0025,35
ANKRD36C,2.4286,2.5408,1.2506,1.3904,0.7368,0.8363,0.9601,0.9445,0.8807,0.8962,3
ANKRD39,3.0484,2.9232,1.1184,1.0968,0.835,0.9163,0.8372,0.7267,0.9862,0.902,4
ANKRD40,0.8241,0.9813,1.268,1.2106,0.7693,0.7392,1.4,1.0872,1.7286,1.2531,4
ANKRD44,2.7912,3.0009,1.0857,1.1682,0.6131,0.8017,0.7666,0.9348,0.955,1.0614,11
ANKRD46,0.7937,0.6583,0.3671,0.3537,1.2127,1.1842,1.7848,1.7602,1.4749,1.4388,8
ANKRD49,2.6511,4.1961,0.986,1.1363,0.6793,0.7619,0.7107,0.7533,0.5634,0.5454,4
ANKRD50,1.908,1.9562,1.2549,1.312,0.8904,0.8672,1.0783,1.0968,0.8544,0.8994,47
ANKRD52,3.0064,2.8827,1.1449,1.2571,0.7015,0.7738,0.8522,0.84,0.7887,0.8527,35
ANKRD54,2.9571,3.1777,1.3928,1.4315,0.6881,0.7944,0.7588,0.7085,0.6186,0.6724,8
ANKRD9,1.9966,1.9341,1.7528,1.7276,0.7406,0.912,0.7081,0.9195,1.1278,0.8535,1
ANKS1A,4.4121,4.6806,0.8702,0.9605,0.5097,0.6084,0.6796,0.7336,0.5463,0.625,58
ANKS6,2.1874,2.0401,1.0415,1.2373,1.115,0.895,1.0458,1.0469,1.0155,0.9287,2
ANKZF1,1.45,1.3943,1.386,1.3412,0.6333,0.6963,0.7435,0.7233,1.9036,1.7096,41
ANLN,1.0424,1.0942,2.3509,2.1623,0.7446,0.7496,0.9022,0.8936,0.7246,0.7202,149
ANO1,0.8902,0.5416,0.7708,0.8019,1.4272,1.336,1.5941,1.371,1.1795,1.1706,5
ANO10,0.3855,0.3868,0.328,0.2927,1.2284,1.1592,1.9129,1.8099,1.3741,1.4727,45
ANO6,0.3927,0.442,0.3267,0.3262,1.3931,1.3762,1.5569,1.5362,1.4941,1.3513,74
ANO8,0.6089,0.5103,0.4666,0.4388,1.1813,1.0753,1.7572,1.6395,1.3227,1.2826,14
ANP32A,3.3374,3.8905,2.3271,1.7844,0.5021,0.492,0.4304,0.4096,0.3812,0.3501,309
ANP32B,3.2994,3.8461,2.3588,1.9105,0.5237,0.4914,0.4527,0.4344,0.3558,0.3401,147
ANPEP,1.9761,1.2461,0.9419,0.9347,0.8666,1.5079,1.1559,1.1114,1.2617,1.0739,4
ANTXR1,0.4597,0.5955,0.4447,0.3517,1.2673,1.3863,1.9946,1.86,1.253,1.0597,1
ANXA1,5.1465,5.5346,1.2033,1.1958,0.3927,0.403,0.402,0.3866,0.366,0.3481,1381
ANXA11,4.342,4.6854,1.1052,1.0797,0.534,0.5523,0.6189,0.6226,0.5153,0.5215,269
ANXA2,1.2019,1.3218,2.0483,1.8946,0.9255,0.9191,0.98,0.9503,0.691,0.6773,2391
ANXA3,4.8992,5.2355,1.179,1.2574,0.4375,0.4746,0.4745,0.4438,0.4263,0.4018,195
ANXA4,4.9017,5.2177,1.2508,1.2691,0.4072,0.4337,0.4328,0.4141,0.406,0.3989,332
ANXA5,4.9955,5.2955,1.2456,1.2327,0.406,0.427,0.4267,0.3975,0.4017,0.4229,599
ANXA6,1.9064,1.353,1.709,0.8857,1.1852,1.1078,1.0298,0.8546,0.855,1.1258,24
ANXA7,4.0403,4.2581,0.8692,0.8868,0.5969,0.6355,0.7445,0.7774,0.626,0.648,200
ANXA9,0.628,0.5572,0.9445,0.9444,1.3822,1.4755,1.3237,1.3838,1.0304,1.0612,43
AOC1,1.0426,0.989,2.1648,2.2292,1.1296,1.1379,0.8978,0.8281,0.6815,0.615,2
AOC3,1.3778,1.2801,2.2591,0.8214,1.2536,0.963,0.8217,0.7012,0.7211,1.302,12
AP1AR,0.4411,0.6298,0.4482,0.3823,0.8286,0.8109,1.5552,1.4065,2.2545,1.8821,15
AP1B1,1.6093,1.7299,0.9403,0.9199,0.7686,0.7875,1.1653,1.1015,1.6828,1.4093,218
AP1G1,1.7632,1.8777,0.9247,0.9087,0.7824,0.8088,1.1618,1.1099,1.5493,1.3302,258
AP1G2,3.0081,3.2572,0.895,0.8747,0.6392,0.6706,0.8466,0.948,0.8942,1.001,32
AP1M1,1.5998,1.6745,0.934,0.9399,0.8947,0.9205,1.1769,1.0858,1.4613,1.2882,51
AP1M2,1.4056,1.5274,0.893,0.8813,0.8366,0.8237,1.24,1.1745,1.6985,1.432,117
AP1S1,2.2133,2.1984,0.9923,0.9728,0.688,0.6938,1.1027,1.0137,1.3849,1.2218,21
AP1S2,1.4723,1.4186,0.9532,0.9099,0.8239,0.8715,1.1995,1.1501,1.3306,1.2969,6
AP1S3,1.1699,1.4612,0.851,0.8421,0.8401,0.7861,1.2557,1.2368,1.8433,1.4738,10
AP2A1,0.7926,0.759,0.6399,0.6341,1.3603,1.382,1.3859,1.419,1.3818,1.2594,133
AP2A2,0.8005,0.742,0.7245,0.7041,1.3908,1.4712,1.3736,1.4034,1.1825,1.1076,125
AP2B1,1.0853,1.0442,0.7603,0.7522,1.29,1.3456,1.2423,1.2622,1.3325,1.2222,171
AP2M1,0.7699,0.6977,0.7349,0.7092,1.3895,1.4208,1.392,1.3814,1.2686,1.1812,145
AP2S1,1.269,1.2726,0.76,0.6973,1.2133,1.2983,1.3683,1.3183,1.1427,1.0837,29
AP3B1,2.6479,2.6168,1.1629,1.2487,0.6309,0.7189,0.8635,0.922,1.0691,1.1325,139
AP3B2,2.7619,2.6491,1.4163,1.531,0.7283,0.6441,0.864,0.7752,0.9695,0.9349,1
AP3D1,2.5446,2.4285,1.1846,1.2546,0.6169,0.6884,0.8812,0.9494,1.1832,1.2208,177
AP3M1,2.7042,2.6262,1.2244,1.3309,0.5225,0.6353,0.8359,0.9612,1.1405,1.1566,34
AP3M2,4.1165,3.5848,1.3093,1.3373,0.4676,0.5687,0.6765,0.7059,0.6923,0.9473,5
AP3S1,2.4857,2.4967,1.1651,1.1753,0.7447,0.7962,0.826,0.8947,1.1507,1.18,22
AP3S2,2.119,2.0302,1.0017,1.0379,0.7903,0.7948,1.1635,1.1832,1.1777,1.2435,2
AP4B1,2.0903,2.1483,0.8058,0.812,0.7339,0.807,1.1386,1.1697,1.4455,1.3429,12
AP4E1,2.2815,2.2969,0.7891,0.8468,0.6556,0.711,1.0427,1.1949,1.4509,1.3633,17
AP4M1,2.3063,2.4072,0.8186,0.8172,0.6488,0.7284,1.1128,1.1466,1.4116,1.4041,8
AP4S1,4.0779,4.452,0.8196,0.8942,0.4285,0.4547,0.6534,0.6322,0.9511,0.953,10
AP5B1,1.894,2.0085,1.0023,0.96,0.5949,0.7025,1.056,1.0406,1.7736,1.6351,19
AP5M1,1.7126,1.7337,0.9969,0.9334,0.6282,0.6791,1.1508,1.1666,1.5533,1.4572,12
AP5S1,1.9882,2.0885,1.1435,1.0783,0.8075,0.8833,0.9373,1.0422,1.1765,1.2414,15
AP5Z1,2.0109,2.0207,0.8935,0.8416,0.7181,0.7415,1.1291,1.2063,1.5826,1.5139,25
APAF1,4.0117,4.0527,1.3967,1.3628,0.4972,0.6309,0.5561,0.5653,0.5617,0.54,19
APBA1,3.902,3.8955,1.0219,0.9334,0.8373,0.8604,0.607,0.528,0.835,0.7596,18
APBA2,1.5424,1.6757,1.2818,0.9403,0.8486,0.866,1.4474,1.242,1.0752,1.0514,4
APBA3,1.5041,1.3571,1.1811,1.2058,0.7934,0.8958,1.2915,1.126,1.1349,1.0937,8
APBB2,0.5675,0.587,1.1811,1.123,1.0022,1.0162,1.3309,1.3275,1.4004,1.1575,33
APC,0.7918,0.7619,1.638,1.5352,0.9684,0.9635,1.1376,1.164,1.0897,1.067,104
APC2,0.9094,0.9665,0.9357,0.7286,0.9745,1.058,1.131,1.174,1.6011,1.3936,3
APCS,2.2504,1.3154,1.1985,1.1368,1.0731,1.7168,0.7089,0.803,0.8402,1.0104,89
APEH,3.7927,3.6772,1.1017,1.2478,0.5532,0.642,0.7437,0.7127,0.7462,0.779,65
APEX1,2.087,2.4502,2.4091,2.1196,0.6344,0.6392,0.5691,0.534,0.7624,0.6554,246
APEX2,1.9536,1.7322,1.6506,1.4373,0.9249,0.9945,0.9097,0.8789,1.1085,0.8884,2
APH1A,0.289,0.3211,0.3617,0.3626,1.2192,1.1873,1.7816,1.6632,1.4983,1.3521,25
API5,0.9804,1.1118,1.4835,1.3725,1.2074,1.2576,1.0391,1.0451,0.9561,0.9517,224
APIP,3.7253,4.2552,1.8608,1.598,0.4842,0.4824,0.5319,0.45,0.4062,0.3955,15
APLF,0.6691,0.667,1.3301,1.126,0.9763,1.075,0.9411,1.1428,1.6402,1.4743,10
APLP2,0.5255,0.5329,0.63,0.6311,0.9782,0.9652,1.7466,1.5934,1.6087,1.4519,125
APMAP,0.5312,0.531,0.4143,0.3898,1.3404,1.2525,1.7192,1.5768,1.3018,1.3761,441
APOA1,1.5018,1.6947,0.7048,0.9659,0.6675,0.8607,1.2932,0.9722,2.4093,1.1324,102
APOA1BP,3.6368,4.0117,1.2587,1.2093,0.6177,0.59,0.9076,0.818,0.5011,0.5,84
APOA2,1.5886,1.6839,0.7098,1.0158,0.8796,1.1295,1.1459,1.1008,1.8213,1.1405,18
APOA4,1.4126,1.1871,0.9906,1.2466,0.9594,1.2237,1.0733,0.8801,1.8882,1.0749,31
APOB,0.8599,0.6472,0.6675,0.5793,0.6168,0.9625,1.9193,1.3964,2.0579,1.2832,411
APOBEC3A,2.5131,2.7231,1.2787,1.1826,0.9864,1.0074,0.8744,0.8928,0.7632,0.7999,2
APOBEC3B,0.7312,0.8018,0.59,0.5914,1.8738,1.9288,0.764,0.746,1.4279,1.2468,14
APOBEC3C,0.5273,0.5877,0.4679,0.4433,1.0201,1.0096,0.7874,0.7033,3.4971,2.7866,8
APOC1,1.4362,1.6392,0.7023,0.8951,0.8429,1.2585,1.4822,1.0809,1.64,1.1245,4
APOC3,0.7065,0.8557,0.6702,0.6431,1.2796,1.3211,1.5005,1.5022,1.4598,1.2338,2
APOD,1.1223,0.9657,0.6111,0.7165,0.6543,1.1741,1.8245,0.8833,1.9559,1.3325,32
APOE,1.6995,1.3887,0.9216,0.9705,0.9019,1.1224,1.3254,0.8851,1.4596,1.1887,126
APOH,1.4095,1.3071,0.8632,0.8258,0.828,1.5185,1.4704,1.062,1.3413,1.0572,41
APOL2,0.6469,0.6255,0.5088,0.5457,1.2832,1.1844,1.6734,1.4244,1.269,1.273,74
APOL6,0.651,0.7315,0.3559,0.3238,1.3516,1.2288,1.8325,1.4928,1.3462,1.4217,3
APOM,0.5676,0.5576,0.8067,0.7542,1.0606,1.0637,1.7578,1.2272,1.9283,1.1106,4
APOO,0.5445,0.5961,0.498,0.482,1.0463,1.0596,2.1287,2.0893,0.8104,0.8355,45
APOOL,0.5511,0.685,0.4524,0.4361,1.0721,1.0792,2.0445,2.0944,0.782,0.8319,71
APP,0.3298,0.3219,0.5464,0.5489,1.108,1.0467,1.8704,1.6518,1.5413,1.4688,123
APPBP2,2.8118,2.6015,1.5408,1.5951,0.679,0.6792,0.8695,0.8651,0.7492,0.7545,7
APPL1,3.0717,3.1787,0.9831,0.968,0.7027,0.7887,0.9042,0.9982,0.8846,0.9506,78
APPL2,2.2652,1.9678,1.1747,1.2399,0.8291,0.9715,1.0272,1.1261,0.8398,1.0163,43
