Protein,FS1 A HCC827-rep2,FS1 B HCC827-rep2,FS2 A HCC827-rep2,FS2 B HCC827-rep2,FP1 A HCC827-rep2,FP1 B HCC827-rep2,FP2 A HCC827-rep2,FP2 B HCC827-rep2,FP3 A HCC827-rep2,FP3 B HCC827-rep2,MIN PSMs for quant
TNKS2,0.9803,1.0937,0.9414,0.8407,1.0922,1.1291,1.1300,1.2854,1.4955,1.2967,3
TNPO1,1.8514,1.7347,1.0653,1.0640,0.9049,0.9108,0.8619,0.8393,0.7139,0.7999,151
TNPO2,2.0917,1.9436,1.1918,1.1644,0.7691,0.7166,0.6376,0.6519,0.5665,0.6612,22
TNPO3,1.7549,1.5711,1.1926,1.1396,0.9219,0.8577,0.8461,0.8118,0.7129,0.8207,87
TNRC18,0.6405,0.6457,0.9585,1.0757,1.2166,1.1897,0.9707,1.0649,1.5909,1.5329,20
TNRC6A,0.6374,0.7070,1.0784,1.0656,0.9353,0.9549,0.9980,0.9891,1.6148,1.5772,11
TNRC6B,1.1922,1.0546,1.4446,1.5522,0.8242,0.7570,0.6848,0.7833,0.9568,0.8882,32
TNRC6C,1.5384,1.2923,1.3125,1.2391,0.8739,0.8958,0.8259,0.8937,0.8391,0.7445,2
TNS3,2.2422,2.0744,0.8651,0.8163,0.9496,0.9081,0.9211,0.9064,0.6881,0.7461,67
TOB2,0.7792,1.0284,1.1590,1.3047,1.0075,0.9910,1.0863,0.9689,1.2631,1.2380,3
TOE1,0.5721,0.5699,1.2405,1.2449,0.9398,0.9810,0.8148,0.8760,1.7639,1.5903,33
TOLLIP,1.5485,1.4123,1.0444,1.0339,0.8617,0.8358,1.0774,1.0015,1.0409,1.0404,24
TOM1,1.5111,1.3898,1.0725,1.0727,0.8826,0.8756,1.0134,0.9483,1.0442,0.9869,33
TOM1L1,2.0462,1.9205,1.0619,1.0666,0.7643,0.7208,0.7711,0.7521,0.6889,0.7348,20
TOM1L2,1.6776,1.5914,1.1655,1.1281,0.8728,0.8510,0.8817,0.9674,0.7798,0.7283,31
TOMM20,0.4335,0.4553,0.3994,0.3995,1.6881,1.6361,2.6350,2.6756,0.8931,1.0074,31
TOMM22,0.4267,0.2985,0.2366,0.2362,1.8190,1.8052,2.9656,2.6412,0.7585,0.9083,14
TOMM34,2.4866,2.5079,1.1020,1.1291,0.7383,0.7570,0.6700,0.6473,0.4921,0.5284,48
TOMM40,0.5645,0.5493,0.4692,0.4968,1.5894,1.6359,2.5042,2.1847,0.8591,0.9611,111
TOMM40L,1.0307,0.8934,0.7868,0.8479,1.1784,1.2299,1.6577,1.3659,1.1052,0.9445,7
TOMM5,0.5272,0.5477,0.3984,0.4024,1.6442,1.5989,2.5589,2.4316,0.8816,1.0013,47
TOMM70A,0.4245,0.4219,0.4087,0.4238,1.6466,1.6380,2.6264,2.5678,0.9299,1.0668,285
TOP1,0.3910,0.4098,0.5455,0.5553,1.4635,1.5660,1.2685,1.2496,2.1346,2.1540,472
TOP1MT,0.5029,0.8641,1.4423,1.2015,0.9744,1.0328,1.0404,0.8820,1.1916,1.0537,5
TOP2A,0.4977,0.4976,0.4434,0.4491,2.3374,2.5955,1.7083,1.6149,0.8087,0.8156,328
TOP2B,0.5041,0.4965,0.3981,0.4193,2.4342,2.6149,1.7936,1.6873,0.7877,0.7783,119
TOP3A,0.4447,0.4683,1.0890,1.1232,1.2702,1.2707,1.4110,1.4413,1.1248,1.1629,23
TOP3B,0.8391,0.8705,1.1793,1.1822,0.9595,0.9186,0.8921,0.8343,1.6774,1.2558,16
TOPBP1,0.4953,0.4520,1.5667,1.4967,1.0366,1.0054,0.8952,0.8868,0.8960,0.8299,36
TOPORS,0.5931,0.6051,1.1234,1.1531,1.3510,1.3388,0.9612,1.0463,1.4509,1.4483,13
